33;Chicharito;31;45;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_9NQH-0ddJSzv0uB4LMqyvppDZAt-wpdGZOwXUOKceCSaJFXWu3RTkg9qIQ&s
34;Chimy Avila;23;NULL;NULL;67;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzJ_LNaqXlZ-IGuvOqZTS7gkV5CyIzPGB_bJfS4YjuQ5CZKnMh_t88T2NdKZQ&s
35;Chris Wood;28;NULL;NULL;NULL;17;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNEnF_Izo1nm4GVP17gKlILdjpdYCC52juwlQVEP2JrfpDVttNVfsJHloorg&s
36;Christian Benteke;22;23;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA_djs2g4R7fQnRgSx5ZlkJKOyoaP81PzRpcclHc77V4e6ZNAyDUwqX3E9hA&s
37;Ciro Immobile;26;46;46;46;46;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTllhC2tfyauR4jUCOufr9wyjd6j3kAUmgjK8soBLCi1wUlU19vCNsbHEgkxnU&s
38;Cristhian Stuani;28;NULL;35;35;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB11oj4ddvGaEoF0KjuN9fFSIny_Zei9a1po2SRBZFJ7eKgpm8WemRK4_2fw&s
39;Cristiano Ronaldo;29;43;43;43;43;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSojfxJ0KQ3XiLReZVdUKUMa-hynSZlOXMZqYc3kRgvs1JlICaaHJtWjnAJow&s
40;Cyril Thereau;25;73;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQINr5kyac0N7NQEoD5DC7mJ47pun0Xf8tuXK-Us1gTw3aTKiaGVThYD8UwDg&s
41;Daniel Didavi;23;NULL;93;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaUn-AKbFVR_4CLvsqcJ5qkMZddhDfNoQx0D8kTJcBZZ8OL13HWGCry-ZicQ8&s
42;Danny Ings;35;NULL;NULL;NULL;82;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSK2rd4YU8ZcvRTcXPamaFdIRFvkorjvMotLPDMqlIPFnXcXNh4YgpmPrbZ-gc&s
43;Dario Benedetto;24;NULL;NULL;NULL;57;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9AgWLnGagKLD2UP4RqJ1Aallr5v3w0D-39M6QsPkKuuM1LCmbjnb8fPfQkA&s
44;Davie Selke;21;NULL;86;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-XLL4Xc-KFugJSHGkN2gl7HP9g0KgZuEWkx43lGntcwWJhRB6rnqf-insMw&s
45;Dele Alli;29;88;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLr_DVwalrToOwPfdzamLIr3SpNy3Spokp8E0Y2-jrwPDHyxnCcdueMSHIoPc&s
46;Denis Bouanga;21;NULL;NULL;NULL;83;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR60AmK77wncTkfOUszrVxoWZHlVmRkwI1aWS9i2tIZnH7h7UU1Fr_Wipm8crY&s
47;Diego Costa;26;6;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3TiS2qI_fBfl1qjRaMrbdZn_sHzMa5lalbLId6fK7DRLIlEzaA8eJ006ZxPc&s
48;Diego Falcinelli;28;24;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXJ3gcnXpmRIDm48kiTkMxiWec33DrSBGcy8Aw8yPRq8ZzP4RlOhqIQI724ws&s
49;Dimitri Payet;24;NULL;NULL;NULL;57;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4VxfA5mCk6NnbG0Vjl4qb0PDMypnyUtdNyMGccs627IiFoqN-731tVJtXLA&s
50;Domenico Berardi;20;NULL;NULL;NULL;76;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcST-d3NHfRbA5Gyx4LHjaI9ck_UgnDQGnp6GSDvwb05YfYAOwG8b4NbXphUDP8&s
51;Dominic Calvert-Lewin;32;NULL;NULL;NULL;29;29;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVaEy6tAjFf5YYqS4wCrtdxhSH47h8M6DehExZf9YQBinX8b0RM_BYgw3iRSo&s
52;Dries Mertens;26;63;63;63;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSk0X6AXd9RP-HDikT1tM7S6WdWVf9pmWYpGBJk1dIKzrMA-lrEXqefplJ2Uoo&s
53;Duvan Zapata;24;NULL;5;5;5;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjY7sPt8TjZ7cwlphd43ffMlG9qF-cqPOGAgiaBVCHY0-qdjT3ky4q_IxHJw&s
54;Eden Hazard;26;73;NULL;73;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCu08d1TJARyHd-5Qmk6XCcdcaAPJdG6RRIhuCEnCtphOdk5IV-kA29By40ME&s
55;Edin Dzeko;27;74;74;74;74;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLpe14q7aPsL0ljzL6eTppsttFz6PjEIC_zbMXCd9z468A70VxwzH95vscYw0&s
56;Edinson Cavani;22;NULL;NULL;59;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSHO8-fWBmlGT6pSI7sEQoa_YQL32Sl_IAmjkn6u740XVghvf2vXFbq7WXtYQ&s
57;Emil Forsberg;30;71;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQPqwyu-z_Qq2q-VYqM2S4B-1uC9TWKy6195tEaYJacKqgstA-XbXzX0IDxQ&s
58;Emiliano Sala;26;NULL;NULL;18;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRolZQK-ftAFBNc1_gbVfT2NCZESJkHJ8aTk_g7YjXqnsDYwZm-sz63iJpG-qI&s
