Column1;Column2;Column3
Gianluca Lapadula;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyEdK_bXIW348d9jQIFnKCOPBvaE-acksUv05VJMTZm8MBp8Yml21rhUyoGA0&s
Giovanni Simeone;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjlFxwf1aqdSYnO4RlszM3LkionHlsXB9GE4OyZeEgRnFWQVVU1vaNP4w8Iy8&s
Harry Kane;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpZYOJNVy9pOaZYrGbZ_O7-HX2KXxB3fZGEs5KYO2QSycwIAZbwIyv4u_hfw8&s
Gonzalo Higuain;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlq04I0Zbnqnj1m7HTK454drNidjpscCJH83k9pD5URai_cwn9Ie2V0uwf1A&s
Gregoire Defrel;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTi0P4lINy9ObeeNJBztMd5oX-Wwqnyagasyk2y9Nr-rw-AOmK1RIYSTWLWrg&s
Guido Burgstaller;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYoW0Uv5MBPrJ9LJN-o7U0XgEiV7gPod3iuWu1mYNYVm_qRX1Lc09iKTYx2A&s
Raheem Sterling;Premier League;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtfMWl7DfZVYeAmS3jiZFEPqhh7s6SDa1NimbHHOWg7zOBhYXnV81ZzDeHmok&s
Habib Diallo;Ligue 1;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCqr9BSepsAJOA7kPzOpA1scXQ8BQ7ZrXJ5qCbiVc7o7qcEWgKeeFUHvrTYmk&s
Iago Aspas;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAMRMPXz_AUBjVjy8bVimG4MtWO5y_pvU6qSViSvpQ9oF6GkgSY-B8Rnmrqw&s
Iago Falque;Serie A;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5nn5bOzi3fkWYO80ljdto0X8uIaX8hc9ARhvLgvpTu-7Nmt-1LobqzY-eLQ&s
Inaki Williams;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnbnDXQgHtMCYvZLc_L7stxi6q6rYtzj1DxZrygqck6OHy-x_F5wFLHPo-xQ&s
Isco;La Liga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW271smtFcvKR00E8NypWGC5_OnOpf0ba7Tk-wlU7aYkSQboriY2Ymr2Cky-s&s
Ishak Belfodil;Bundesliga;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf3IUcFTOPzQLFzQyZ_hQ_zIpTMLIATccsT1eQgr_Qk9dg8971Y5mEYi3OkQ&s
